,model,n_features,alphabet_name,time,current_memory,peak_memory,dense_matrix
73,PairwiseModel,1261,protein,0.007177829742431641,0.026333,25.705904,True
74,PairwiseModel,1261,protein,0.007115840911865234,0.026333,25.705904,True
75,PairwiseModel,1261,protein,0.007296085357666016,0.026333,25.705904,True
76,PairwiseModel,1261,protein,0.007301807403564453,0.026333,25.705904,True
77,PairwiseModel,1261,protein,0.007290840148925781,0.026333,25.705904,True
78,PairwiseModel,1261,protein,0.007305145263671875,0.026333,25.705904,True
79,PairwiseModel,1261,protein,0.0071659088134765625,0.026333,25.705904,True
80,PairwiseModel,2481,protein,0.0010540485382080078,0.042957,0.210888,False
81,PairwiseModel,2481,protein,0.00096893310546875,0.042957,0.210888,False
82,PairwiseModel,2481,protein,0.0009551048278808594,0.042957,0.210888,False
83,PairwiseModel,2481,protein,0.0009770393371582031,0.042957,0.210888,False
84,PairwiseModel,2481,protein,0.0010178089141845703,0.043021,0.210888,False
85,PairwiseModel,2481,protein,0.000982046127319336,0.043021,0.210888,False
86,PairwiseModel,2481,protein,0.0009801387786865234,0.043021,0.210888,False
87,PairwiseModel,2481,protein,0.000965118408203125,0.043021,0.210888,False
88,PairwiseModel,2481,protein,0.0009570121765136719,0.043021,0.210888,False
89,PairwiseModel,2481,protein,0.0009670257568359375,0.043021,0.210888,False
90,PairwiseModel,2481,protein,0.04117393493652344,0.045885,99.008216,True
91,PairwiseModel,2481,protein,0.04168581962585449,0.045949,99.00828,True
92,PairwiseModel,2481,protein,0.041056156158447266,0.045949,99.00828,True
93,PairwiseModel,2481,protein,0.0459599494934082,0.045949,99.00828,True
94,PairwiseModel,2481,protein,0.042481184005737305,0.045949,99.00828,True
95,PairwiseModel,2481,protein,0.047263145446777344,0.045949,99.00828,True
96,PairwiseModel,2481,protein,0.04029107093811035,0.045949,99.00828,True
97,PairwiseModel,2481,protein,0.03988909721374512,0.045949,99.00828,True
98,PairwiseModel,2481,protein,0.04088878631591797,0.045949,99.00828,True
99,PairwiseModel,2481,protein,0.04042816162109375,0.0459,99.00828,True
100,PairwiseModel,6121,protein,0.002151966094970703,0.103021,0.490008,False
101,PairwiseModel,6121,protein,0.0021932125091552734,0.103021,0.490008,False
102,PairwiseModel,6121,protein,0.002167224884033203,0.103021,0.490008,False
103,PairwiseModel,6121,protein,0.0021729469299316406,0.103021,0.490008,False
104,PairwiseModel,6121,protein,0.002261638641357422,0.103085,0.490008,False
105,PairwiseModel,6121,protein,0.0021829605102539062,0.103085,0.490008,False
106,PairwiseModel,6121,protein,0.002173900604248047,0.103085,0.490008,False
107,PairwiseModel,6121,protein,0.0021440982818603516,0.103085,0.490008,False
108,PairwiseModel,6121,protein,0.0021898746490478516,0.103085,0.490008,False
109,PairwiseModel,6121,protein,0.002209901809692383,0.103085,0.490008,False
110,PairwiseModel,6121,protein,0.5923810005187988,0.104253,600.823496,True
111,PairwiseModel,6121,protein,0.5287659168243408,0.104317,600.82356,True
112,PairwiseModel,6121,protein,0.5852067470550537,0.104317,600.82356,True
113,PairwiseModel,6121,protein,0.5647459030151367,0.104885,600.823464,True
114,PairwiseModel,6121,protein,0.6161179542541504,0.104613,600.823856,True
115,PairwiseModel,6121,protein,0.6083638668060303,0.104317,600.82356,True
116,PairwiseModel,6121,protein,0.5752959251403809,0.104317,600.82356,True
117,PairwiseModel,6121,protein,0.5806500911712646,0.104317,600.82356,True
118,PairwiseModel,6121,protein,0.5482900142669678,0.104317,600.82356,True
119,PairwiseModel,6121,protein,0.5717020034790039,0.104317,600.82356,True
120,PairwiseModel,11361,protein,0.003915071487426758,0.189453,0.888232,False
121,PairwiseModel,11361,protein,0.003929853439331055,0.189453,0.888232,False
122,PairwiseModel,11361,protein,0.003915071487426758,0.189453,0.888232,False
123,PairwiseModel,11361,protein,0.0038940906524658203,0.189453,0.888232,False
124,PairwiseModel,11361,protein,0.003916025161743164,0.189517,0.888232,False
125,PairwiseModel,11361,protein,0.004032135009765625,0.189517,0.888232,False
126,PairwiseModel,11361,protein,0.003938913345336914,0.189517,0.888232,False
127,PairwiseModel,11361,protein,0.003935098648071289,0.189517,0.888232,False
128,PairwiseModel,11361,protein,0.00396418571472168,0.189517,0.888232,False
129,PairwiseModel,11361,protein,0.003915071487426758,0.189517,0.888232,False
130,PairwiseModel,26641,protein,0.008862972259521484,0.441421,2.042312,False
131,PairwiseModel,26641,protein,0.009196996688842773,0.431821,2.032712,False
132,PairwiseModel,26641,protein,0.00924372673034668,0.428317,2.029208,False
133,PairwiseModel,26641,protein,0.009242773056030273,0.428317,2.029208,False
134,PairwiseModel,26641,protein,0.009235143661499023,0.428381,2.029208,False
135,PairwiseModel,26641,protein,0.009217023849487305,0.428332,2.029159,False
136,PairwiseModel,26641,protein,0.009215831756591797,0.428381,2.029208,False
137,PairwiseModel,26641,protein,0.009846925735473633,0.428332,2.029208,False
138,PairwiseModel,26641,protein,0.010182857513427734,0.428332,2.029159,False
139,PairwiseModel,26641,protein,0.010118246078491211,0.428381,2.029208,False
140,PairwiseModel,54741,protein,0.01894092559814453,0.877917,4.128416,False
141,PairwiseModel,54741,protein,0.018999099731445312,0.877917,4.128416,False
142,PairwiseModel,54741,protein,0.018676042556762695,0.877917,4.128416,False
143,PairwiseModel,54741,protein,0.0188443660736084,0.877917,4.128416,False
144,PairwiseModel,54741,protein,0.01865077018737793,0.877981,4.128416,False
145,PairwiseModel,54741,protein,0.018605947494506836,0.877981,4.128416,False
146,PairwiseModel,54741,protein,0.018625974655151367,0.877981,4.128416,False
147,PairwiseModel,54741,protein,0.018815279006958008,0.877981,4.128416,False
148,PairwiseModel,54741,protein,0.01877880096435547,0.877981,4.128416,False
149,PairwiseModel,54741,protein,0.018713951110839844,0.877981,4.128416,False
150,PairwiseModel,120501,protein,0.04024100303649902,1.937901,9.034096,False
151,PairwiseModel,120501,protein,0.040486812591552734,1.930077,9.026272,False
152,PairwiseModel,120501,protein,0.04142594337463379,1.930077,9.026272,False
153,PairwiseModel,120501,protein,0.04073786735534668,1.930077,9.026272,False
154,PairwiseModel,120501,protein,0.04090690612792969,1.930141,9.026272,False
155,PairwiseModel,120501,protein,0.04099392890930176,1.930141,9.026272,False
156,PairwiseModel,120501,protein,0.04086613655090332,1.930141,9.026272,False
157,PairwiseModel,120501,protein,0.041168212890625,1.930141,9.026272,False
158,PairwiseModel,120501,protein,0.04131674766540527,1.930141,9.026272,False
159,PairwiseModel,120501,protein,0.04129672050476074,1.930141,9.026272,False
160,PairwiseModel,252721,protein,0.08441901206970215,4.045597,18.853976,False
161,PairwiseModel,252721,protein,0.08465695381164551,4.045597,18.853976,False
162,PairwiseModel,252721,protein,0.08437395095825195,4.045597,18.853976,False
163,PairwiseModel,252721,protein,0.0848691463470459,4.045597,18.853976,False
164,PairwiseModel,252721,protein,0.08615589141845703,4.045612,18.853927,False
165,PairwiseModel,252721,protein,0.08493709564208984,4.045661,18.853976,False
166,PairwiseModel,252721,protein,0.08630204200744629,4.045661,18.853976,False
167,PairwiseModel,252721,protein,0.08814620971679688,4.045661,18.853976,False
168,PairwiseModel,252721,protein,0.08461999893188477,4.045661,18.853976,False
169,PairwiseModel,252721,protein,0.0847480297088623,4.045661,18.853976,False
170,PairwiseModel,511021,protein,0.17192912101745605,8.178397,38.027408,False
171,PairwiseModel,511021,protein,0.17401814460754395,8.178397,38.027408,False
172,PairwiseModel,511021,protein,0.171522855758667,8.178397,38.027408,False
173,PairwiseModel,511021,protein,0.18176007270812988,8.178397,38.027408,False
174,PairwiseModel,511021,protein,0.17106890678405762,8.178461,38.027408,False
175,PairwiseModel,511021,protein,0.17176508903503418,8.178461,38.027408,False
176,PairwiseModel,511021,protein,0.17153596878051758,8.178461,38.027408,False
177,PairwiseModel,511021,protein,0.17066407203674316,8.178461,38.027408,False
178,PairwiseModel,511021,protein,0.17107129096984863,8.178461,38.027408,False
179,PairwiseModel,511021,protein,0.17162418365478516,8.178461,38.027408,False
180,PairwiseModel,1052661,protein,0.3553128242492676,16.844637,78.195744,False
181,PairwiseModel,1052661,protein,0.3482491970062256,16.844637,78.195744,False
182,PairwiseModel,1052661,protein,0.3632380962371826,16.844637,78.195744,False
183,PairwiseModel,1052661,protein,0.3563861846923828,16.844637,78.195744,False
184,PairwiseModel,1052661,protein,0.3520479202270508,16.844701,78.195744,False
185,PairwiseModel,1052661,protein,0.35336899757385254,16.844701,78.195744,False
186,PairwiseModel,1052661,protein,0.3516678810119629,16.844701,78.195744,False
187,PairwiseModel,1052661,protein,0.35181212425231934,16.844701,78.195744,False
188,PairwiseModel,1052661,protein,0.35140395164489746,16.844701,78.195744,False
189,PairwiseModel,1052661,protein,0.36723780632019043,16.844701,78.195744,False
190,PairwiseModel,2186101,protein,0.7280468940734863,34.979677,162.196768,False
191,PairwiseModel,2186101,protein,0.721350908279419,34.979677,162.196768,False
192,PairwiseModel,2186101,protein,0.7345402240753174,34.979677,162.196768,False
193,PairwiseModel,2186101,protein,0.7254457473754883,34.979677,162.196768,False
194,PairwiseModel,2186101,protein,0.7275350093841553,34.979741,162.196768,False
195,PairwiseModel,2186101,protein,0.7286467552185059,34.979741,162.196768,False
196,PairwiseModel,2186101,protein,0.7252411842346191,34.979741,162.196768,False
197,PairwiseModel,2186101,protein,0.726794958114624,34.979741,162.196768,False
198,PairwiseModel,2186101,protein,0.7224628925323486,34.979741,162.196768,False
199,PairwiseModel,2186101,protein,0.7174890041351318,34.979741,162.196768,False
200,PairwiseModel,4473001,protein,1.5049238204956055,71.570077,331.605512,False
201,PairwiseModel,4473001,protein,1.4831390380859375,71.570077,331.605512,False
202,PairwiseModel,4473001,protein,1.5093560218811035,71.570077,331.605512,False
203,PairwiseModel,4473001,protein,1.5036020278930664,71.570077,331.605512,False
204,PairwiseModel,4473001,protein,1.5171315670013428,71.570141,331.605512,False
205,PairwiseModel,4473001,protein,1.4894123077392578,71.570141,331.605512,False
206,PairwiseModel,4473001,protein,1.5047359466552734,71.570141,331.605512,False
207,PairwiseModel,4473001,protein,1.5042009353637695,71.570141,331.605512,False
208,PairwiseModel,4473001,protein,1.5108590126037598,71.570141,331.605512,False
209,PairwiseModel,4473001,protein,1.49239182472229,71.570141,331.605512,False
